,level_0,index,id,state_name,district_name,crop_year,season,crop,area,production,production_cc
0,0,401,6244aad715052cfb22eeffcb,Odisha,NAYAGARH,2015,Autumn,Rice,1000.0,1625.0,1625.0
1,1,963,6244aaf715052cfb22ef01fe,Odisha,NAYAGARH,2015,Autumn,Rice,1000.0,1625.0,1625.0
2,2,1525,6244ab5215052cfb22ef0431,Odisha,NAYAGARH,2015,Autumn,Rice,1000.0,1625.0,1625.0
3,3,2087,6244abc615052cfb22ef0664,Odisha,NAYAGARH,2015,Autumn,Rice,1000.0,1625.0,1625.0
4,4,2380,6244abc615052cfb22ef0789,Andhra Pradesh,EAST GODAVARI,2014,Kharif,Horse-gram,1.0,37.67,37.67
5,5,2493,6244abc615052cfb22ef07fa,Andhra Pradesh,KADAPA,2014,Kharif,Other Kharif pulses,2.0,12.33,12.33
6,6,2531,6244abc615052cfb22ef0820,Andhra Pradesh,KADAPA,2014,Rabi,Soyabean,12.0,11.0,11.0
7,7,2564,6244abc615052cfb22ef0841,Andhra Pradesh,KRISHNA,2014,Rabi,Castor seed,20.0,13.0,13.0
8,8,2872,6244abc615052cfb22ef0975,Andhra Pradesh,VIZIANAGARAM,2014,Kharif,Other Kharif pulses,19.0,NA,NA
9,9,2911,6244abc615052cfb22ef099c,Andhra Pradesh,WEST GODAVARI,2014,Kharif,Cabbage,26.0,NA,NA
10,10,4959,6244abc615052cfb22ef119c,Chhattisgarh,BALOD,2014,Rabi,Other  Rabi pulses,1.0,5.33,5.33
11,11,5075,6244abc615052cfb22ef1210,Chhattisgarh,BASTAR,2014,Whole Year,Coconut,1.0,NA,NA
12,12,5098,6244abc615052cfb22ef1227,Chhattisgarh,BEMETARA,2014,Rabi,Horse-gram,2.0,NA,NA
13,13,5142,6244abc615052cfb22ef1253,Chhattisgarh,BIJAPUR,2014,Whole Year,Coconut,21.0,NA,NA
14,14,5143,6244abc615052cfb22ef1254,Chhattisgarh,BIJAPUR,2014,Whole Year,Coriander,1.0,1.5,1.5
15,15,5202,6244abc615052cfb22ef128f,Chhattisgarh,DANTEWADA,2014,Rabi,Linseed,2.0,NA,NA
16,16,5204,6244abc615052cfb22ef1291,Chhattisgarh,DANTEWADA,2014,Rabi,Other  Rabi pulses,1.0,3.0,3.0
17,17,5211,6244abc615052cfb22ef1298,Chhattisgarh,DANTEWADA,2014,Whole Year,Coconut,1.0,NA,NA
18,18,5286,6244abc615052cfb22ef12e3,Chhattisgarh,GARIYABAND,2014,Kharif,Jute,18.0,NA,NA
19,19,5342,6244abc615052cfb22ef131b,Chhattisgarh,JANJGIR-CHAMPA,2014,Rabi,Other  Rabi pulses,4.0,36.33,36.33
20,20,5479,6244abc615052cfb22ef13a4,Chhattisgarh,KONDAGAON,2014,Rabi,Castor seed,1.0,NA,NA
21,21,5483,6244abc615052cfb22ef13a8,Chhattisgarh,KONDAGAON,2014,Rabi,Masoor,1.0,3.0,3.0
22,22,5484,6244abc615052cfb22ef13a9,Chhattisgarh,KONDAGAON,2014,Rabi,Moong(Green Gram),1.0,NA,NA
23,23,5491,6244abc615052cfb22ef13b0,Chhattisgarh,KONDAGAON,2014,Whole Year,Coconut,34.0,NA,NA
24,24,5505,6244abc615052cfb22ef13be,Chhattisgarh,KORBA,2014,Kharif,Jute,72.0,NA,NA
25,25,5546,6244abc615052cfb22ef13e7,Chhattisgarh,KOREA,2014,Kharif,Other Kharif pulses,251.0,NA,NA
26,26,5547,6244abc615052cfb22ef13e8,Chhattisgarh,KOREA,2014,Kharif,Ragi,3.0,1.67,1.67
27,27,5559,6244abc615052cfb22ef13f4,Chhattisgarh,KOREA,2014,Rabi,Moong(Green Gram),2.0,1.0,1.0
28,28,5560,6244abc615052cfb22ef13f5,Chhattisgarh,KOREA,2014,Rabi,Other  Rabi pulses,164.0,158.0,158.0
29,29,5608,6244abc615052cfb22ef1425,Chhattisgarh,MAHASAMUND,2014,Whole Year,Sweet potato,3.0,14.4,14.4
30,30,5612,6244abc615052cfb22ef1429,Chhattisgarh,MUNGELI,2014,Kharif,Jute,36.0,NA,NA
31,31,5653,6244abc615052cfb22ef1452,Chhattisgarh,NARAYANPUR,2014,Rabi,Khesari,1.0,7.0,7.0
32,32,5708,6244abc615052cfb22ef1489,Chhattisgarh,RAIPUR,2014,Kharif,Sannhamp,1.0,3.0,3.0
33,33,5783,6244abc615052cfb22ef14d4,Chhattisgarh,SUKMA,2014,Kharif,Sannhamp,1.0,NA,NA
34,34,5789,6244abc615052cfb22ef14da,Chhattisgarh,SUKMA,2014,Rabi,Gram,1.0,1.0,1.0
35,35,5797,6244abc615052cfb22ef14e2,Chhattisgarh,SUKMA,2014,Whole Year,Coconut,2.0,NA,NA
36,36,5830,6244abc615052cfb22ef1503,Chhattisgarh,SURAJPUR,2014,Rabi,Urad,2.0,NA,NA
37,37,5845,6244abc615052cfb22ef1512,Chhattisgarh,SURGUJA,2014,Kharif,Jute,13.0,NA,NA
38,38,5850,6244abc615052cfb22ef1517,Chhattisgarh,SURGUJA,2014,Kharif,Other Kharif pulses,219.0,188.33,188.33
39,39,6117,6244abc615052cfb22ef1622,Karnataka,BANGALORE RURAL,2014,Summer,Cowpea(Lobia),1.0,1.0,1.0
40,40,6280,6244abc615052cfb22ef16c5,Karnataka,BENGALURU URBAN,2014,Summer,Cowpea(Lobia),1.0,10.5,10.5
41,41,6849,6244abc715052cfb22ef18fe,Karnataka,HAVERI,2014,Kharif,Rapeseed &Mustard,2.0,9.0,9.0
42,42,7070,6244abc715052cfb22ef19db,Karnataka,MYSORE,2014,Whole Year,Cardamom,5.0,NA,NA
43,43,7355,6244abc715052cfb22ef1af8,Karnataka,YADGIR,2014,Whole Year,Coriander,1.0,1.0,1.0
44,44,7364,6244abc715052cfb22ef1b01,Kerala,ALAPPUZHA,2014,Whole Year,Cowpea(Lobia),8.0,NA,NA
45,45,7368,6244abc715052cfb22ef1b05,Kerala,ALAPPUZHA,2014,Whole Year,Moong(Green Gram),48.0,NA,NA
46,46,7371,6244abc715052cfb22ef1b08,Kerala,ALAPPUZHA,2014,Whole Year,Pump Kin,41.0,NA,NA
47,47,7385,6244abc715052cfb22ef1b16,Kerala,ERNAKULAM,2014,Whole Year,Cowpea(Lobia),359.0,NA,NA
48,48,7387,6244abc715052cfb22ef1b18,Kerala,ERNAKULAM,2014,Whole Year,Moong(Green Gram),1.0,NA,NA
49,49,7388,6244abc715052cfb22ef1b19,Kerala,ERNAKULAM,2014,Whole Year,Pump Kin,49.0,NA,NA
50,50,7390,6244abc715052cfb22ef1b1b,Kerala,ERNAKULAM,2014,Whole Year,Sugarcane,0.2,230.0,230.0
51,51,7403,6244abc715052cfb22ef1b28,Kerala,IDUKKI,2014,Whole Year,Cowpea(Lobia),73.0,NA,NA
52,52,7407,6244abc715052cfb22ef1b2c,Kerala,IDUKKI,2014,Whole Year,Onion,4.0,NA,NA
53,53,7409,6244abc715052cfb22ef1b2e,Kerala,IDUKKI,2014,Whole Year,Pump Kin,59.0,NA,NA
54,54,7422,6244abc715052cfb22ef1b3b,Kerala,KANNUR,2014,Whole Year,Blackgram,240.0,NA,NA
55,55,7425,6244abc715052cfb22ef1b3e,Kerala,KANNUR,2014,Whole Year,Cowpea(Lobia),182.0,NA,NA
56,56,7427,6244abc715052cfb22ef1b40,Kerala,KANNUR,2014,Whole Year,Horse-gram,10.0,NA,NA
57,57,7428,6244abc715052cfb22ef1b41,Kerala,KANNUR,2014,Whole Year,Moong(Green Gram),65.0,NA,NA
58,58,7429,6244abc715052cfb22ef1b42,Kerala,KANNUR,2014,Whole Year,Pump Kin,83.0,NA,NA
59,59,7441,6244abc715052cfb22ef1b4e,Kerala,KASARAGOD,2014,Whole Year,Blackgram,22.0,NA,NA
60,60,7444,6244abc715052cfb22ef1b51,Kerala,KASARAGOD,2014,Whole Year,Cowpea(Lobia),96.0,NA,NA
61,61,7446,6244abc715052cfb22ef1b53,Kerala,KASARAGOD,2014,Whole Year,Horse-gram,12.0,NA,NA
62,62,7447,6244abc715052cfb22ef1b54,Kerala,KASARAGOD,2014,Whole Year,Moong(Green Gram),10.0,NA,NA
63,63,7448,6244abc715052cfb22ef1b55,Kerala,KASARAGOD,2014,Whole Year,Pump Kin,33.0,NA,NA
64,64,7449,6244abc715052cfb22ef1b56,Kerala,KASARAGOD,2014,Whole Year,Sugarcane,0.66,30.47,30.47
65,65,7460,6244abc715052cfb22ef1b61,Kerala,KOLLAM,2014,Whole Year,Blackgram,5.0,NA,NA
